EAN;PRODUTO;DESCRITIVO
7896090403141;146029;ST FRANCIS SUAVE 90G FRUTAS VER
7896098900208;146265;DET LIQ  YPE  500ml NEUTRO
7896098900215;146272;DET LIQ  YPE  500ml MACA
7896098900239;146296;DET LIQ  YPE  500ml COCO
7896098900253;146302;DET LIQ  YPE  500ml CLEAR
7896110091440;146654;PAPEL HIG PERSONAL C/4 TRAD NEUTRO
7896110091846;146661;PAPEL HIG PERSONAL C/8 TRAD NEUTRO
7891024114636;141444;ST PALMOLIVE SUAVE 90G CENOURA
7896052600748;141697;CERV LATA NOVA SCHIN
7894900011593;142304;REFRIG COCA COLA PET 2 5L
7896569405003;149594;LEITE LV  LIDER INTEGRAL
7896072911145;143745;SIDRA CERESER 660ML
7893333289128;144056;BISC CLUB SOCIAL  156G  ORIGINAL
7891132001101;148764;SAZON 60G NORDESTE
7894000001180;149174;ADES 1L MORANGO
7891132001279;151900;MID  GOIABA
7898373581508;147972;CAFE  MOKA 500G TRAD
7898373582505;147996;CAFE  MOKA 500G EXTRA FORTE
7501007502762;154826;DET PO ACE SACHET 1000G BASICO ED*
7898373580334;153164;CAFE  MOKA 500G A VACUO
7898422745301;153263;CR SEDA P/PENTEAR 300G PRETO LU
7896205754434;157063;MAC ADRIA 500G SOPA LETRINHAS
7891021006934;158169;CAFE  MELITTA 500G  EXTRA FORTE
7896381502300;160469;AGUA SANIT 2L TAY
7891099612150;175609;REFR FRESH MARACUJA
7894321711706;175616;TODDY  PO TRAD  200G
7891099612181;175623;REFR FRESH LARANJA
7891099612334;175630;REFR FRESH TANGERINA
7891099612136;175647;REFR FRESH UVA
7891099612044;184410;REFR FRESH MORANGO
7896098906736;168458;DET PO TIXAN SACHET 1000G NATUREZA
7896105500117;168564;AMAC 2L CANDURA CLASSICO AZUL
7896051130116;177368;LEITE PO SACHE INTEG  ITAMBE 400G
7897395060138;192675;CERV LATA CRYSTAL
7891962000091;193016;Z TORRADA BAUDUCCO LIGHT INTEGRAL
7891962011295;193030;TORRADA BAUDUCCO LIGHT FIBRAS
7891099612167;180993;REFR FRESH LIMAO
7892970120092;185349;HAMB BOV GRANEL 56G ESTRELA
7891099691339;175906;REFR TANG PRO TANGERINA 30G
7891099691131;175920;REFR TANG PRO UVA 30G
7891099691018;175937;REFR TANG PRO ABACAXI 30G
7891099691162;175951;REFR TANG PRO LIMAO 30G
7891099691087;175975;REFR TANG PRO MANGA 30G
7891099691049;176026;REFR TANG PRO MORANGO 30G
7891132010387;181945;TEMP 300G SABOR AMI TOQUE DE LOURO
7891037010017;194143;SH SEDA 350MLLISO PERFEITO
7891037010048;194242;CR SEDA P/PENTEAR 300G LISO PERFEIT
7896005279489;192552;FERM DONA BENTA 100G      TRAD
7891132019731;187695;SAZON 60G SALADA
7894900700015;184922;REFRIG COCA COLA LATA 350ml ZERO
7891132019717;194952;SAZON 60G LARANJA
7896005272046;203685;MIST BOLO  450G D BENTA COCO
7896005272145;203708;MIST BOLO  450G D BENTA LIMAO
7896005272107;203715;MIST BOLO  450G D BENTA BAUNILHA
7896005272121;203722;MIST BOLO  450G D BENTA MILHO VER
7896005272022;203739;MIST BOLO  450G D BENTA LARANJA
7891203011053;162951;BISNAGUINHA PANCO
7896052600069;195423;REFRIG SCHIN 2L LIMAO
7896052600076;195447;REFRIG SCHIN 2L GUARANA
7896036090244;163637;OLEO SOJA LIZA PET
7891991006125;195959;CERV LATA BOHEMIA
7896098905838;195966;DET PO TIXAN SACHET 1000G FLOR SOL
7896050200124;196055;AGUARD VELHO BARREIRO 910ml
7896061915109;159524;PAPEL HIG SUBLIME C/4 NEUTRO
7896007912124;159845;FOSFORO PINHEIRO  MACO
7898373580624;172899;CAFE  MOKA 500G A VACUO EXTRA FORTE
7896341101833;197625;SALG TORCIDA 60G CAMARAO
7896584300048;170994;FEIJAO 1kg FANTASTICO
7896584300017;171007;ARROZ  5kg  FANTASTICO T1
7893000394209;165341;MARG  QUALY 500G TRAD C/SAL
7896085055836;173797;BISC ADRIA TORTINHAS 160G CHOC BCO
7891000140307;174121;LEITE PO INTEGRAL  NINHO     400G
7891515901165;165396;MARG  DORIANA 250G S/SAL
7893000383005;165532;MARG  QUALY 500G TRAD S/SAL
7893000394117;165556;MARG  QUALY 250G TRAD C/SAL
7896089011470;192446;CAFE  CABOCLO 500G
7896061915239;174404;PAPEL HIG SUBLIME C/8 HERBAL
7896061915246;174411;PAPEL HIG SUBLIME C/8 NEUTRO
7891099354159;167499;REFR FRESH GOIABA
7897951614188;182034;MILK MIX  1L  MORANGO
7896066804859;165655;QUEIJO RAL 50G TEIXEIRA TRAD
7896462300122;183819;REFRIG DOLLY 2L LARANJA
7896462300139;183864;REFRIG DOLLY 2L LIMAO
7896462300146;183888;REFRIG DOLLY 2L UVA
7896462300153;183918;REFRIG DOLLY 2L COLA
7891999970053;183932;QUEIJO RAL 50G VIGOR
7896051115038;183949;LEITE COND  LT  395G ITAMBE
7896462300016;184021;REFRIG DOLLY 2L DIET GUARANA
7896462300528;184038;REFRIG DOLLY 2L DIET LIMAO
7896057800488;225045;VINAGRE  NEVAL 750ml TINTO
7896057800464;225052;VINAGRE  NEVAL 750ml BRANCO
7891079000243;169431;MAC INST NIS LAM 85G LEGUMES
7896205788187;229500;MAC ADRIA 500G PADRE NOSSO C3
7896085055829;220224;BISC ADRIA TORTINHAS 160G CHOCOLATE
7896205754465;224413;MAC ADRIA 500G NHOQUE
7896005280911;224567;MIST BOLO  450G D BENTA CENOURA
7896089012637;225274;CAFE  PILAO 250G A VACUO
7896105500131;234474;AMAC 2L CANDURA FLORAL AMARELO
7891132000449;234627;SAZON 60G BRANCO
7891099691629;234696;REFR TANG PRO GOIABA 30G
7891099612082;235464;REFR FRESH MANGA
7896089401646;186384;PAPEL HIG DAMA C/8 NEUTRO
7896341101819;248303;SALG TORCIDA 60G CHURRASCO
